order_id,customer_id,item_name,item_type,portion_size,item_price,item_qty,transaction_amt,transaction_type,time,date,customer_type,customer_location,distance_km,discount,order_cancelled,weekday
10001,C10872,Egg Noodles,Non-Veg,half,100,1,100,Digital,21:00:00,2024-09-06,Offline,Restaurant,0.0,no,no,Friday
10001,C10872,Chicken Biryani,Non-Veg,full,220,1,220,Cash,21:00:00,2024-09-06,Offline,Restaurant,0.0,no,no,Friday
10001,C10872,Chicken Biryani,Non-Veg,full,220,1,220,Digital,21:00:00,2024-09-06,Offline,Restaurant,0.0,no,no,Friday
10002,C10872,Butter Naan,Veg,,40,1,40,Digital,12:30:00,2024-09-06,Online,Madanpur Khadar Village,1.5,no,no,Friday
10003,C10435,Chicken Noodles,Non-Veg,half,110,1,110,Digital,13:15:00,2024-09-06,Online,New Friends Colony,4.0,no,yes,Friday
10003,C10435,Chilli Chicken,Non-Veg,full,190,1,190,Cash,13:15:00,2024-09-06,Online,New Friends Colony,4.0,no,no,Friday
10004,C10435,Pyaaz Dosa,Veg,,110,1,110,Digital,20:45:00,2024-09-06,Online,Okhla Phase 1,2.0,no,yes,Friday
10004,C10435,Chicken Tikka Masala,Non-Veg,full,240,1,240,Digital,20:45:00,2024-09-06,Online,Okhla Phase 1,2.0,no,yes,Friday
10004,C10435,Veg Biryani,Veg,full,180,1,180,Digital,20:45:00,2024-09-06,Online,Okhla Phase 1,2.0,no,no,Friday
10005,C10803,Kheer,Veg,,70,1,70,Digital,19:30:00,2024-09-06,Online,Okhla Industrial Area,2.2,yes,no,Friday
10005,C10803,Paneer Butter Masala,Veg,half,120,1,120,Digital,19:30:00,2024-09-06,Online,Okhla Industrial Area,2.2,yes,yes,Friday
10005,C10803,Cold Drink (500ml),Veg,,60,1,60,Digital,19:30:00,2024-09-06,Online,Okhla Industrial Area,2.2,yes,no,Friday
10006,C10453,Kheer,Veg,,70,1,70,Digital,20:00:00,2024-09-06,Offline,Restaurant,0.0,no,no,Friday
10006,C10453,Gulab Jamun,Veg,,60,1,60,Digital,20:00:00,2024-09-06,Offline,Restaurant,0.0,no,no,Friday
10006,C10453,Paneer Lababdar,Veg,half,140,1,140,Digital,20:00:00,2024-09-06,Offline,Restaurant,0.0,no,no,Friday
10007,C10803,Butter Chicken,Non-Veg,full,240,1,240,Cash,13:00:00,2024-09-06,Offline,Restaurant,0.0,yes,no,Friday
10008,C10415,Rumali Roti,Veg,,35,2,70,Digital,20:30:00,2024-09-06,Offline,Restaurant,0.0,no,no,Friday
10008,C10415,Fried Rice,Veg,full,150,1,150,Cash,20:30:00,2024-09-06,Offline,Restaurant,0.0,no,no,Friday
